,codigo,nome,cidade,estado,populacao,popAte9,popDe10a14,popDe15a19,popDe20a24,popDe25a34,popDe35a49,popDe50a59,popMaisDe60,domiciliosA1,domiciliosA2,domiciliosB1,domiciliosB2,domiciliosC1,domiciliosC2,domiciliosD,domiciliosE,rendaMedia,faturamento,potencial,total_domicilios,label
170,355030141,Alto De Pinheiros,São Paulo,SP,8046,0.0700969425802,0.035669898086,0.0623912503107,0.0500869997514,0.102908277405,0.217375093214,0.155853840418,0.305617698235,0.313333333333,0.182962962963,0.233333333333,0.0937037037037,0.052962962963,0.0362962962963,0.0,0.0874074074074,12793.0,1164520.875,Medio,2700,4
209,355030205,Chácara Flora,São Paulo,SP,14523,0.0775321903188,0.0386972388625,0.0594918405288,0.0478551263513,0.10934379949,0.219651587138,0.161743441438,0.285684775873,0.287040695377,0.181153694192,0.220071118135,0.125049387594,0.0770446463848,0.0361517186883,0.0,0.0734887396286,11500.0,1306192.375,Alto,5062,4
278,355030140,Jardim Europa,São Paulo,SP,13371,0.0733677361454,0.0351506992745,0.0557175977863,0.0439757684541,0.10088998579,0.215989828734,0.156383217411,0.318525166405,0.392782526116,0.137132003799,0.233618233618,0.0710351377018,0.0567901234568,0.0127255460589,0.0,0.0959164292498,21677.0,1913580.25,Alto,5265,4
282,35503075,Jardim Lusitânia,São Paulo,SP,2115,0.0501182033097,0.0330969267139,0.0591016548463,0.0562647754137,0.109692671395,0.205200945626,0.17304964539,0.313475177305,0.355623100304,0.176291793313,0.186930091185,0.0577507598784,0.0729483282675,0.0258358662614,0.0,0.12462006079,15113.0,1201338.5,Medio,658,4
298,35503077,Jardins,São Paulo,SP,11416,0.0707778556412,0.0335494043448,0.0494919411352,0.0490539593553,0.131306937631,0.218728100911,0.150315346882,0.2967764541,0.259835711198,0.127107652399,0.217682663208,0.112408127972,0.0763078253351,0.0408560311284,0.0,0.165801988759,11135.0,1261500.25,Medio,4626,4
300,355030210,Jockey Clube,São Paulo,SP,4298,0.0700325732899,0.0351326198232,0.0565379246161,0.0639832480223,0.120753838995,0.217543043276,0.161470451373,0.274546300605,0.403802281369,0.106463878327,0.137642585551,0.054752851711,0.0745247148289,0.0555133079848,0.0235741444867,0.143726235741,19585.0,1848970.25,Medio,1315,4
321,355030209,Morumbi,São Paulo,SP,15104,0.0758077330508,0.0389300847458,0.0570047669492,0.0570047669492,0.136387711864,0.236295021186,0.153469279661,0.245100635593,0.259040333797,0.162030598053,0.2280945758,0.101703755216,0.0791029207232,0.0471140472879,0.0175591098748,0.105354659249,14504.0,1275057.375,Alto,5752,4
326,35503026,Pacaembu,São Paulo,SP,10016,0.0625,0.0287539936102,0.0556110223642,0.0659944089457,0.110123801917,0.199880191693,0.164436900958,0.312699680511,0.331248436327,0.141105829372,0.223167375532,0.0945709281961,0.0627970978234,0.0230172629472,0.015761821366,0.108331248436,15057.0,1181979.625,Medio,3997,4
374,355030211,Real Parque,São Paulo,SP,22088,0.127580586744,0.0593987685621,0.0873324882289,0.0648768562115,0.142747193046,0.243163708801,0.124592538935,0.150307859471,0.248267747418,0.0915152307491,0.125375866126,0.0530788338345,0.0762191136096,0.129036475356,0.039482285266,0.23702444764,12706.0,1261871.625,Alto,7649,4
409,355030206,Vila Andrade,São Paulo,SP,47060,0.138950276243,0.059604759881,0.0792180195495,0.0646196345091,0.159753506162,0.269209519762,0.120123246919,0.108521036974,0.213873884809,0.127511076045,0.180008496692,0.0765309218911,0.103174121503,0.0998968258785,0.035686107908,0.163318565273,9020.0,1508571.875,Alto,16477,4
442,35503073,Vila Nova Conceição,São Paulo,SP,10691,0.0788513703115,0.0283415957347,0.0471424562716,0.0479842858479,0.143298101207,0.234028622206,0.155551398372,0.26480217005,0.311372037399,0.174820613177,0.189171559035,0.0817569036747,0.0582735377256,0.0252228745379,0.0,0.159382474451,13633.0,1278413.0,Medio,4599,4
