,codigo,nome,cidade,estado,populacao,popAte9,popDe10a14,popDe15a19,popDe20a24,popDe25a34,popDe35a49,popDe50a59,popMaisDe60,domiciliosA1,domiciliosA2,domiciliosB1,domiciliosB2,domiciliosC1,domiciliosC2,domiciliosD,domiciliosE,rendaMedia,faturamento,potencial,total_domicilios,label
179,35503031,Belém,São Paulo,SP,20907,0.0913569617831,0.0435739226097,0.0639020423782,0.0701678863539,0.144975367102,0.212560386473,0.143636102741,0.229827330559,0.0398254228041,0.0909710856519,0.246726677578,0.238679759956,0.15493726132,0.1078832515,0.012547735952,0.108428805237,4366.0,1159088.75,Alto,7332,0
181,35503023,Bexiga,São Paulo,SP,34542,0.0843031671588,0.0363615308899,0.066325053558,0.0878640495629,0.204678362573,0.228649180708,0.126773203636,0.165045451914,0.0179754020814,0.0485876469793,0.203405865658,0.216583322071,0.228611974591,0.161981348831,0.0294634410055,0.0933909987836,3211.0,993234.75,Alto,14798,0
193,35503017,Cambuci,São Paulo,SP,18608,0.116670249355,0.0451418744626,0.0678740326741,0.0688413585555,0.178525365434,0.227160361135,0.121721840069,0.174064918315,0.0253183980359,0.0533988031303,0.25180297683,0.196102501151,0.215283105723,0.152063833052,0.0355992020868,0.0704311799908,3946.0,986911.0625,Medio,6517,0
195,355030197,Campo Grande,São Paulo,SP,35159,0.112688074177,0.0533291618078,0.0786427372792,0.0659575073239,0.167695326943,0.239227509315,0.132938934554,0.149520748599,0.0,0.0405042700285,0.236437576251,0.185197234648,0.17454249695,0.128263521757,0.0432696217975,0.191785278569,2493.0,997945.0625,Alto,12295,0
221,355030124,Cidade Vargas,São Paulo,SP,40368,0.0825158541419,0.0394867221562,0.0661910424098,0.0610879904875,0.160721363456,0.228596908442,0.147988505747,0.213411613159,0.029757650575,0.0851146774089,0.278604379183,0.183938665454,0.181924501332,0.105191345592,0.0227405626665,0.11272821779,3893.0,1176148.75,Alto,15391,0
238,355030158,Freguesia Do Ó,São Paulo,SP,59777,0.0881108118507,0.0459039429881,0.0743764324071,0.0659785536243,0.147715676598,0.223781722067,0.15283470231,0.201298158154,0.00582800284293,0.0597488746742,0.237194977493,0.201658374793,0.19180289031,0.147547974414,0.0347784885098,0.121440416963,2981.0,1201534.875,Alto,21105,0
241,35503021,Glicério,São Paulo,SP,23761,0.0981019317369,0.0404444257397,0.064685829721,0.066790118261,0.175455578469,0.237868776567,0.129497916754,0.187155422752,0.0421783235451,0.0808328884143,0.223171382808,0.194874532835,0.200106780566,0.0977042178324,0.0316070475174,0.129524826482,3947.0,1146449.75,Baixo,9365,0
252,35503038,Ipiranga,São Paulo,SP,21723,0.0733324126502,0.0334668323896,0.0564378769047,0.0527551443171,0.132992680569,0.22450858537,0.155503383511,0.271003084289,0.0150454863541,0.0728947982272,0.24341031024,0.247842313972,0.212386284115,0.0947049218568,0.0281082341964,0.085607651038,3427.0,1205515.5,Medio,8574,0
256,355030123,Jabaquara,São Paulo,SP,37618,0.087165718539,0.0411505130523,0.0659524695624,0.0700728374714,0.162182997501,0.221223882184,0.14689776171,0.20535381998,0.00476732602818,0.0527252027892,0.288885726484,0.19339689768,0.166927565106,0.109506190408,0.0372136046677,0.146577486836,3017.0,1141410.0,Alto,14054,0
306,355030148,Lapa De Baixo,São Paulo,SP,8485,0.073541543901,0.034649381261,0.0599882144962,0.063406010607,0.150265173836,0.196110783736,0.150500883913,0.27153800825,0.0196433967966,0.047748564521,0.271683288002,0.213961922031,0.206104563312,0.104261106074,0.0,0.136597159263,3633.0,953459.375,Medio,3309,0
307,35503019,Liberdade/São Joaquim,São Paulo,SP,17355,0.0642466148084,0.0295015845578,0.0711610486891,0.0975511380006,0.209392106021,0.203630077787,0.131950446557,0.192566983578,0.0223170731707,0.0473170731707,0.21256097561,0.210731707317,0.190365853659,0.102926829268,0.0264634146341,0.187317073171,3108.0,1018865.0,Medio,8200,0
311,355030168,Mandaqui,São Paulo,SP,108235,0.0966415669608,0.0493648080565,0.077950755301,0.0669838776736,0.143992239109,0.240236522382,0.139732988405,0.185097242112,0.0176818819131,0.0544996624604,0.236563327621,0.203017084696,0.185568884042,0.137378615568,0.0345588617126,0.130731681986,3231.0,1120644.125,Alto,38514,0
320,35503035,Mooca,São Paulo,SP,29404,0.0835940688342,0.0349272207863,0.0655353013195,0.0707046660318,0.167936335192,0.227860155081,0.140899197388,0.208543055367,0.0289706567303,0.0748952026083,0.29585468095,0.227573358174,0.161714019562,0.116627852818,0.0149976711691,0.0793665579879,4111.0,1180262.875,Alto,10735,0
330,355030173,Parada Inglesa,São Paulo,SP,39103,0.0874101731325,0.0416847812188,0.0662864741836,0.0655959900775,0.148607523719,0.215712349436,0.149170140398,0.225532567834,0.0142548596112,0.0429805615551,0.242980561555,0.212886969042,0.183369330454,0.149820014399,0.039524838013,0.114182865371,3073.0,1158098.125,Alto,13890,0
338,35503033,Parque Belém,São Paulo,SP,9978,0.120966125476,0.0444978953698,0.0705552214873,0.0796752856284,0.23872519543,0.24604129084,0.0900982160754,0.109440769693,0.0164986251146,0.0626336694164,0.261228230981,0.226397800183,0.130766880538,0.151237396884,0.0158875649251,0.135349831958,3425.0,945662.25,Medio,3273,0
340,355030226,Parque Continental,São Paulo,SP,21925,0.0824629418472,0.0401824401368,0.06417331813,0.0659521094641,0.164515393387,0.223078677309,0.133454960091,0.226180159635,0.0308059701493,0.0807164179104,0.271641791045,0.219701492537,0.180179104478,0.109731343284,0.0331940298507,0.0740298507463,4276.0,1169650.0,Alto,8375,0
